,lat,lon,mci,neighbourhood,occurrencedate,occurrenceday,occurrencehour,occurrencemonth,occurrenceyear,offence,premisetype,reporteddate,reportedday,reporteddayofweek,reporteddayofyear,reportedhour,reportedmonth,reportedyear
970,43.6721115,-79.4963531,Break and Enter,Rockcliffe-Smythe (111),1393714200000,1.0,22,March,2014.0,B&E,House,1393715280000,1,Saturday  ,60,23,March,2014
971,43.7358513,-79.2520523,Assault,Eglinton East (138),1394459940000,10.0,13,March,2014.0,Assault,Commercial,1394459940000,10,Monday    ,69,13,March,2014
972,43.7444992,-79.5827103,Assault,Mount Olive-Silverstone-Jamestown (2),1394438400000,10.0,8,March,2014.0,Assault,Other,1394475840000,10,Monday    ,69,18,March,2014
973,43.7911758,-79.4183578,Assault,Newtonbrook East (50),1394485200000,10.0,21,March,2014.0,Assault Bodily Harm,Commercial,1394491680000,10,Monday    ,69,22,March,2014
974,43.7559013,-79.2666626,Robbery,Bendale (127),1395067080000,17.0,14,March,2014.0,Robbery - Swarming,Other,1395069000000,17,Monday    ,76,15,March,2014
975,43.7559013,-79.2666626,Robbery,Bendale (127),1395067080000,17.0,14,March,2014.0,Robbery - Other,Other,1395069000000,17,Monday    ,76,15,March,2014
976,43.6638908,-79.5034866,Assault,Lambton Baby Point (114),1395090900000,17.0,21,March,2014.0,Assault,Apartment,1395091680000,17,Monday    ,76,21,March,2014
977,43.6965256,-79.2973099,Assault,Taylor-Massey (61),1395247500000,19.0,16,March,2014.0,Assault,Other,1395251700000,19,Wednesday ,78,17,March,2014
978,43.7389908,-79.5394516,Robbery,Humbermede (22),1395262080000,19.0,20,March,2014.0,Robbery - Business,Commercial,1395262800000,19,Wednesday ,78,21,March,2014
979,43.7389908,-79.5394516,Assault,Humbermede (22),1395262080000,19.0,20,March,2014.0,Pointing A Firearm,Commercial,1395262800000,19,Wednesday ,78,21,March,2014
980,43.7816277,-79.4071045,Assault,Newtonbrook East (50),1395630120000,24.0,3,March,2014.0,Assault,House,1395630120000,24,Monday    ,83,3,March,2014
981,43.6796074,-79.5453262,Break and Enter,Willowridge-Martingrove-Richview (7),1395637680000,24.0,5,March,2014.0,B&E,Commercial,1395639480000,24,Monday    ,83,5,March,2014
982,43.7366409,-79.308403,Assault,Victoria Village (43),1358112600000,13.0,21,January,2013.0,Assault,Outside,1389601860000,13,Monday    ,13,8,January,2014
983,43.684948,-79.3020477,Assault,East End-Danforth (62),1389283200000,9.0,16,January,2014.0,Assault,House,1389527520000,12,Sunday    ,12,11,January,2014
984,43.7845116,-79.1839676,Assault,Highland Creek (134),1389261600000,9.0,10,January,2014.0,Assault,Apartment,1389327300000,10,Friday    ,10,4,January,2014
985,43.7115097,-79.5101013,Break and Enter,Pelmo Park-Humberlea (23),1394452800000,10.0,12,March,2014.0,B&E W'Intent,House,1395495420000,22,Saturday  ,81,13,March,2014
986,43.6708412,-79.4613113,Assault,Weston-Pellam Park (91),1380585600000,1.0,0,October,2013.0,Assault,Outside,1390851960000,27,Monday    ,27,19,January,2014
987,43.6904221,-79.4739151,Assault,Beechborough-Greenbrook (112),1395684600000,24.0,18,March,2014.0,Assault With Weapon,Apartment,1395685200000,24,Monday    ,83,18,March,2014
988,43.7320251,-79.5894241,Assault,Mount Olive-Silverstone-Jamestown (2),1395955800000,27.0,21,March,2014.0,Assault,Outside,1395957600000,27,Thursday  ,86,22,March,2014
989,43.6769829,-79.5243149,Break and Enter,Edenbridge-Humber Valley (9),1396895700000,7.0,18,April,2014.0,B&E,House,1396897380000,7,Monday    ,97,19,April,2014
990,43.6520615,-79.3986816,Theft Over,Kensington-Chinatown (78),1396906200000,7.0,21,April,2014.0,Theft From Motor Vehicle Over,Outside,1396910220000,7,Monday    ,97,22,April,2014
991,43.7355919,-79.4478149,Assault,Clanton Park (33),1397007000000,9.0,1,April,2014.0,Assault,Other,1397007360000,9,Wednesday ,99,1,April,2014
